label_en,label_zh
Heschl’s gyrus middle RH,’回中部右侧
Heschl’s gyrus posterior LH,’回后部左侧
Heschl’s gyrus posterior RH,’回后部右侧
Hippocampal fissure,裂
Hippocampal gyrus,回
Hippocampal gyrus RH,回右侧
Hippocampal gyrus posterior LH,回后部左侧
Hippocampus,海马
Hippocampus anterior,海马前部
Hippocampus anterior LH,海马前部左侧
Hippocampus middle,海马中部
Hippocampus middle RH,海马中部右侧
Hippocampus posterior,海马后部
Hippocampus posterior RH,海马后部右侧
Hippocampus posterior inferior,海马后部下部
Hippocampus posterior superior,海马后部上部
Hypothalamus,丘脑
Inferior frontal gyrus,额下回
Inferior frontal gyrus LH,额下回左侧
Inferior frontal gyrus anterior LH,额下回前部左侧
Inferior frontal gyrus anterior RH,额下回前部右侧
Inferior frontal gyrus mid-anterior RH,额下回前部右侧
Inferior frontal gyrus mid-posterior LH,额下回后部左侧
Inferior frontal gyrus middle LH,额下回中部左侧
Inferior frontal gyrus posterior LH,额下回后部左侧
Inferior frontal gyrus posterior RH,额下回后部右侧
Inferior frontal sulcus,下部沟
Inferior frontal sulcus LH,下部沟左侧
Inferior frontal sulcus RH,下部沟右侧
Inferior frontal sulcus anterior LH,下部沟前部左侧
Inferior frontal sulcus anterior RH,下部沟前部右侧
Inferior frontal sulcus mid-anterior LH,下部沟前部左侧
Inferior frontal sulcus mid-posterior RH,下部沟后部右侧
Inferior frontal sulcus middle RH,下部沟中部右侧
Inferior frontal sulcus posterior LH,下部沟后部左侧
Inferior frontal sulcus posterior RH,下部沟后部右侧
Inferior frontal sulcus posterior inferior LH,下部沟后部下部左侧
Inferior frontal sulcus posterior medial RH,下部沟后部内侧右侧
Inferior frontal sulcus posterior superior LH,下部沟后部上部左侧
Inferior fronto-occipital fasciculus anterior LH,下部前部左侧
Inferior fronto-occipital fasciculus anterior RH,下部前部右侧
Inferior fronto-occipital fasciculus mid-posterior RH,下部后部右侧
Inferior fronto-occipital fasciculus posterior LH,下部后部左侧
Inferior fronto-occipital fasciculus posterior RH,下部后部右侧
Inferior longitudinal fasciculus,下部
Inferior longitudinal fasciculus anterior,下部前部
Inferior longitudinal fasciculus mid-posterior LH,下部后部左侧
Inferior longitudinal fasciculus mid-posterior RH,下部后部右侧
Inferior longitudinal fasciculus middle LH,下部中部左侧
Inferior longitudinal fasciculus middle RH,下部中部右侧
Inferior longitudinal fasciculus posterior LH,下部后部左侧
Inferior longitudinal fasciculus posterior RH,下部后部右侧
Inferior occipital gyrus,下部回
Inferior occipital gyrus LH,下部回左侧
Inferior occipital gyrus RH,下部回右侧
Inferior occipital gyrus anterior LH,下部回前部左侧
Inferior occipital gyrus anterior RH,下部回前部右侧
Inferior occipital gyrus posterior,下部回后部
Inferior occipital gyrus posterior LH,下部回后部左侧
Inferior occipital gyrus posterior RH,下部回后部右侧
Inferior occipital sulcus,下部沟
Inferior occipital sulcus inferior RH,下部沟下部右侧
Inferior occipital sulcus superior RH,下部沟上部右侧
Inferior rostral gyrus RH,下部回右侧
Inferior temporal gyrus anterior RH,颞下回前部右侧
Inferior temporal gyrus middle RH,颞下回中部右侧
Inferior temporal gyrus posterior,颞下回后部
Inferior temporal gyrus posterior LH,颞下回后部左侧
Inferior temporal gyrus posterior RH,颞下回后部右侧
Inferior temporal sulcus anterior LH,下部沟前部左侧
Inferior temporal sulcus anterior RH,下部沟前部右侧
Inferior temporal sulcus medial LH,下部沟内侧左侧
Inferior temporal sulcus mid-anterior LH,下部沟前部左侧
Inferior temporal sulcus mid-posterior LH,下部沟后部左侧
Inferior temporal sulcus mid-posterior RH,下部沟后部右侧
Inferior temporal sulcus middle RH,下部沟中部右侧
Inferior temporal sulcus posterior LH,下部沟后部左侧
Inferior temporal sulcus posterior RH,下部沟后部右侧
Insula,脑岛
Insula anterior,脑岛前部
Insula antero-inferior,脑岛下部
Insula antero-superior,脑岛前上部
Insula antero-superior LH,脑岛前上部左侧
Insula antero-superior RH,脑岛前上部右侧
Insula center and lateral fissure,脑岛和外侧裂
Insula inferior RH,脑岛下部右侧
Insula middle superior,脑岛中部上部
Insula posterior inferior,脑岛后部下部
Insula postero-inferior,脑岛后下部
Insula postero-inferior RH,脑岛后下部右侧
Insula postero-inferior medial,脑岛后下部内侧
Insula postero-superior lateral,脑岛后上部外侧
Insula postero-superior lateral LH,脑岛后上部外侧左侧
Insula superior,脑岛上部
Insula superior LH,脑岛上部左侧
Interhemispheric fissure parietal,大脑纵裂
Interhemispheric fissure precentral gyrus,大脑纵裂中央前回
Interhemispheric fissure precuneus,大脑纵裂楔前叶
Interhemispheric fissure superior,大脑纵裂上部
Intermediate primus of Jensen LH,的左侧
Intermediate primus of Jensen RH,的右侧
Intermediate primus of Jensen anterior RH,的前部右侧
Intermediate primus of Jensen posterior RH,的后部右侧
Internal capsule,内囊
Internal capsule anterior horn RH,内囊前部右侧
Internal capsule anterior limb,内囊前部
Internal capsule anterior limb RH,内囊前部右侧
Internal capsule anterior limb inferior,内囊前部下部
Internal capsule anterior limb superior,内囊前部上部
Internal capsule anterior limb superior LH,内囊前部上部左侧
Internal capsule genu LH,内囊左侧
Internal capsule genu anterior,内囊前部
Internal capsule genu posterior,内囊后部
Internal capsule middle LH,内囊中部左侧
Internal capsule posterior RH,内囊后部右侧
Internal capsule posterior limb,内囊后部
Internal capsule posterior limb LH,内囊后部左侧
Internal capsule posterior limb RH,内囊后部右侧
Internal capsule rentrolenticular LH,内囊左侧
Intracalcarine cortex,距状皮层
Intracalcarine cortex LH,距状皮层左侧
Intraparietal sulcus,顶内沟
Intraparietal sulcus LH,顶内沟左侧
Intraparietal sulcus RH,顶内沟右侧
Intraparietal sulcus anterior,顶内沟前部
Intraparietal sulcus anterior LH,顶内沟前部左侧
Intraparietal sulcus anterior RH,顶内沟前部右侧
Intraparietal sulcus inferior RH,顶内沟下部右侧
Intraparietal sulcus medial LH,顶内沟内侧左侧
Intraparietal sulcus mid-anterior LH,顶内沟前部左侧
Intraparietal sulcus mid-posterior LH,顶内沟后部左侧
Intraparietal sulcus mid-posterior RH,顶内沟后部右侧
Intraparietal sulcus middle LH,顶内沟中部左侧
Intraparietal sulcus middle RH,顶内沟中部右侧
Intraparietal sulcus posterior LH,顶内沟后部左侧
Intraparietal sulcus posterior RH,顶内沟后部右侧
Intraparietal sulcus superior LH,顶内沟上部左侧
Intraparietal sulcus superior RH,顶内沟上部右侧
Intraparietal sulcus superior posterior RH,顶内沟上部后部右侧
Isthmus of corpus callosum,的胼胝体
Lateral fissure anterior,外侧裂前部
Lateral fissure anterior LH,外侧裂前部左侧
Lateral fissure anterior RH,外侧裂前部右侧
Lateral fissure anterior rami RH,外侧裂前部右侧
Lateral fissure middle LH,外侧裂中部左侧
Lateral fissure posterior,外侧裂后部
Lateral fissure posterior LH,外侧裂后部左侧
Lateral fissure posterior limb LH,外侧裂后部左侧
Lateral fissure posterior limb RH,外侧裂后部右侧
Lateral fissure posterior limb inferior RH,外侧裂后部下部右侧
Lateral fissure posterior limb superior RH,外侧裂后部上部右侧
Lateral fissure posterior ramus RH,外侧裂后部右侧
Lateral fissure superior RH,外侧裂上部右侧
Lateral frontal pole,外侧额极
Lateral geniculate nucleus LH,外侧左侧
Lateral occipital cortex,外侧枕叶皮层
Lateral occipital cortex LH,外侧枕叶皮层左侧
Lateral occipital cortex anterior,外侧枕叶皮层前部
Lateral occipital cortex anterior LH,外侧枕叶皮层前部左侧
Lateral occipital cortex anterior RH,外侧枕叶皮层前部右侧
Lateral occipital cortex antero-inferior LH,外侧枕叶皮层下部左侧
Lateral occipital cortex antero-inferior RH,外侧枕叶皮层下部右侧
Lateral occipital cortex antero-superior LH,外侧枕叶皮层前上部左侧
Lateral occipital cortex antero-superior RH,外侧枕叶皮层前上部右侧
Lateral occipital cortex inferior,外侧枕叶皮层下部
Lateral occipital cortex inferior LH,外侧枕叶皮层下部左侧
Lateral occipital cortex mid-anterior RH,外侧枕叶皮层前部右侧
Lateral occipital cortex mid-superior RH,外侧枕叶皮层上部右侧
Lateral occipital cortex middle LH,外侧枕叶皮层中部左侧
Lateral occipital cortex middle RH,外侧枕叶皮层中部右侧
Lateral occipital cortex posterior LH,外侧枕叶皮层后部左侧
Lateral occipital cortex posterior RH,外侧枕叶皮层后部右侧
Lateral occipital cortex postero-inferior RH,外侧枕叶皮层后下部右侧
Lateral occipital cortex postero-superior LH,外侧枕叶皮层后上部左侧
Lateral occipital cortex postero-superior RH,外侧枕叶皮层后上部右侧
Lateral occipital cortex superior,外侧枕叶皮层上部
Lateral occipital cortex superior LH,外侧枕叶皮层上部左侧
Lateral occipital cortex superior RH,外侧枕叶皮层上部右侧
Lateral occipital sulcus LH,外侧枕叶沟左侧
Lateral occipital sulcus anterior RH,外侧枕叶沟前部右侧
Lateral occipital sulcus mid-anterior RH,外侧枕叶沟前部右侧
Lateral occipital sulcus mid-posterior RH,外侧枕叶沟后部右侧
Lateral occipital sulcus posterior RH,外侧枕叶沟后部右侧
Lateral orbital cortex,外侧皮层
Lateral orbital cortex LH,外侧皮层左侧
Lateral orbital gyrus LH,外侧眶回左侧
Lateral orbital gyrus RH,外侧眶回右侧
Lateral orbital gyrus anterior,外侧眶回前部
Lateral ventricle RH,外侧右侧
Lateral ventricles,外侧脑室
Lateral ventricles anterior,外侧脑室前部
Lateral ventricles anterior horns,外侧脑室前部
Lateral ventricles middle,外侧脑室中部
Lateral ventricles posterior,外侧脑室后部
Lateral ventricles posterior horns,外侧脑室后部
Lateral ventricles superior,外侧脑室上部
Lingual gyrus,回
Lingual gyrus anterior,回前部
Lingual gyrus anterior LH,回前部左侧
Lingual gyrus anterior RH,回前部右侧
Lingual gyrus inferior,回下部
Lingual gyrus inferior LH,回下部左侧
Lingual gyrus lateral,回外侧
Lingual gyrus medial,回内侧
Lingual gyrus mid-anterior,回前部
Lingual gyrus mid-anterior LH,回前部左侧
Lingual gyrus mid-posterior,回后部
Lingual gyrus mid-posterior LH,回后部左侧
Lingual gyrus mid-posterior RH,回后部右侧
Lingual gyrus middle,回中部
Lingual gyrus middle LH,回中部左侧
Lingual gyrus middle RH,回中部右侧
Lingual gyrus posterior,回后部
Lingual gyrus posterior LH,回后部左侧
Lingual gyrus posterior RH,回后部右侧
Lingual gyrus posterior inferior RH,回后部下部右侧
Lunate sulcus,沟
Lunate sulcus LH,沟左侧
Lunate sulcus RH,沟右侧
Lunate sulcus inferior LH,沟下部左侧
Lunate sulcus inferior RH,沟下部右侧
Lunate sulcus superior LH,沟上部左侧
Lunate sulcus superior RH,沟上部右侧
Mammillary bodies,乳头体
Medial frontal cortex posterior,内侧皮层后部
Medulla oblongata,延髓
Medulla oblongata anterior,延髓前部
Medulla oblongata posterior,延髓后部
Medulla oblongata superior,延髓上部
Midbrain anterior,前部
Midbrain inferior,下部
Midbrain posterior,后部
Midbrain superior,上部
Middle cerebellar peduncle inferior,中部小脑脚下部
Middle cerebellar peduncle superior,中部小脑脚上部
Middle frontal gyrus,额中回
Middle frontal gyrus RH,额中回右侧
Middle frontal gyrus anterior,额中回前部
Middle frontal gyrus anterior LH,额中回前部左侧
Middle frontal gyrus anterior RH,额中回前部右侧
Middle frontal gyrus anterior lateral LH,额中回前部外侧左侧
Middle frontal gyrus anterior lateral RH,额中回前部外侧右侧
Middle frontal gyrus anterior medial RH,额中回前部内侧右侧
Middle frontal gyrus lateral LH,额中回外侧左侧
Middle frontal gyrus lateral RH,额中回外侧右侧
Middle frontal gyrus medial LH,额中回内侧左侧
Middle frontal gyrus mid-anterior LH,额中回前部左侧
Middle frontal gyrus mid-anterior RH,额中回前部右侧
Middle frontal gyrus mid-anterior inferior RH,额中回前部下部右侧
Middle frontal gyrus mid-anterior superior RH,额中回前部上部右侧
Middle frontal gyrus mid-posterior LH,额中回后部左侧
Middle frontal gyrus mid-posterior RH,额中回后部右侧
Middle frontal gyrus mid-posterior inferior RH,额中回后部下部右侧
Middle frontal gyrus mid-posterior lateral LH,额中回后部外侧左侧
Middle frontal gyrus mid-posterior superior RH,额中回后部上部右侧
Middle frontal gyrus middle,额中回中部
Middle frontal gyrus middle LH,额中回中部左侧
Middle frontal gyrus middle RH,额中回中部右侧
Middle frontal gyrus middle inferior LH,额中回中部下部左侧
Middle frontal gyrus middle inferior RH,额中回中部下部右侧
Middle frontal gyrus middle superior LH,额中回中部上部左侧
Middle frontal gyrus middle superior RH,额中回中部上部右侧
Middle frontal gyrus posterior,额中回后部
Middle frontal gyrus posterior LH,额中回后部左侧
Middle frontal gyrus posterior RH,额中回后部右侧
Middle frontal gyrus posterior inferior RH,额中回后部下部右侧
Middle frontal gyrus posterior lateral RH,额中回后部外侧右侧
Middle frontal gyrus posterior superior LH,额中回后部上部左侧
Middle frontal gyrus posterior superior RH,额中回后部上部右侧
Middle frontal gyrus postero-inferior LH,额中回后下部左侧
Middle frontal gyrus postero-superior LH,额中回后上部左侧
Middle frontal gyrus superior RH,额中回上部右侧
Middle frontal sulcus RH,中部沟右侧
Middle frontal sulcus anterior,中部沟前部
Middle frontal sulcus anterior LH,中部沟前部左侧
Middle frontal sulcus anterior RH,中部沟前部右侧
Middle frontal sulcus inferior LH,中部沟下部左侧
Middle frontal sulcus mid-anterior LH,中部沟前部左侧
Middle frontal sulcus middle LH,中部沟中部左侧
Middle frontal sulcus middle RH,中部沟中部右侧
Middle frontal sulcus posterior RH,中部沟后部右侧
Middle occipital sulcus LH,中部沟左侧
Middle occipital sulcus RH,中部沟右侧
Middle parts of postcentral gyrus and precentral gyrus RH,中部中央后回和中央前回右侧
Middle temporal gyrus,颞中回
Middle temporal gyrus LH,颞中回左侧
Middle temporal gyrus RH,颞中回右侧
Middle temporal gyrus anterior LH,颞中回前部左侧
Middle temporal gyrus anterior RH,颞中回前部右侧
Middle temporal gyrus medial LH,颞中回内侧左侧
Middle temporal gyrus mid-anterior LH,颞中回前部左侧
Middle temporal gyrus mid-anterior RH,颞中回前部右侧
Middle temporal gyrus mid-anterior lateral LH,颞中回前部外侧左侧
Middle temporal gyrus mid-anterior medial LH,颞中回前部内侧左侧
Middle temporal gyrus mid-posterior LH,颞中回后部左侧
Middle temporal gyrus mid-posterior RH,颞中回后部右侧
Middle temporal gyrus mid-posterior medial LH,颞中回后部内侧左侧
Middle temporal gyrus middle LH,颞中回中部左侧
Middle temporal gyrus middle RH,颞中回中部右侧
Middle temporal gyrus middle anterior LH,颞中回中部前部左侧
Middle temporal gyrus middle inferior LH,颞中回中部下部左侧
Middle temporal gyrus middle posterior LH,颞中回中部后部左侧
Middle temporal gyrus middle superior LH,颞中回中部上部左侧
Middle temporal gyrus posterior,颞中回后部
Middle temporal gyrus posterior LH,颞中回后部左侧
Middle temporal gyrus posterior RH,颞中回后部右侧
Middle temporal gyrus posterior inferior LH,颞中回后部下部左侧
Middle temporal gyrus posterior superior LH,颞中回后部上部左侧
Middle temporal gyrus postero-inferior LH,颞中回后下部左侧
Middle temporal gyrus postero-inferior RH,颞中回后下部右侧
Middle temporal gyrus postero-superior RH,颞中回后上部右侧
Occipital pole,枕极
Occipital pole LH,枕极左侧
Occipital pole RH,枕极右侧
Occipital pole inferior,枕极下部
Occipital pole inferior LH,枕极下部左侧
Occipital pole inferior lateral RH,枕极下部外侧右侧
Occipital pole inferior medial LH,枕极下部内侧左侧
Occipital pole inferior medial RH,枕极下部内侧右侧
Occipital pole lateral LH,枕极外侧左侧
Occipital pole lateral RH,枕极外侧右侧
Occipital pole medial RH,枕极内侧右侧
Occipital pole middle,枕极中部
Occipital pole superior,枕极上部
Occipital pole superior LH,枕极上部左侧
Occipitotemporal gyrus anterior,回前部
Occipitotemporal gyrus anterior LH,回前部左侧
Occipitotemporal gyrus mid-posterior RH,回后部右侧
Occipitotemporal gyrus posterior,回后部
Occipitotemporal gyrus posterior LH,回后部左侧
Occipitotemporal gyrus posterior RH,回后部右侧
Occipitotemporal sulcus anterior RH,沟前部右侧
Occipitotemporal sulcus mid-anterior RH,沟前部右侧
Occipitotemporal sulcus mid-posterior LH,沟后部左侧
Occipitotemporal sulcus mid-posterior RH,沟后部右侧
Occipitotemporal sulcus middle LH,沟中部左侧
Occipitotemporal sulcus middle RH,沟中部右侧
Occipitotemporal sulcus posterior LH,沟后部左侧
Occipitotemporal sulcus posterior RH,沟后部右侧
Operculum orbitalis LH,盖左侧
Optic chiasm,视交叉
Optic chiasm anterior,视交叉前部
Optic radiation LH,左侧
Optic radiation RH,右侧
Optic radiation posterior LH,后部左侧
Optic radiation posterior RH,后部右侧
Orbital H-shaped sulcus,沟
Orbital H-shaped sulcus RH,沟右侧
Orbital cortex lateral RH,皮层外侧右侧
Orbitofrontal cortex,眶额皮层
Paracentral gyrus RH,回右侧
Paracentral lobule,旁中央小叶
Paracentral lobule inferior,旁中央小叶下部
Paracentral lobule inferior LH,旁中央小叶下部左侧
Paracentral lobule posterior,旁中央小叶后部
Paracentral lobule posterior LH,旁中央小叶后部左侧
Paracentral lobule postero-inferior,旁中央小叶后下部
Paracentral lobule postero-inferior RH,旁中央小叶后下部右侧
Paracentral lobule superior,旁中央小叶上部
Paracentral sulcus,中央沟
Paracentral sulcus LH,中央沟左侧
Paracentral sulcus inferior,中央沟下部
Paracentral sulcus superior,中央沟上部
Paracingulate gyrus anterior,扣带回前部
Paracingulate gyrus anterior LH,扣带回前部左侧
Paracingulate gyrus mid-anterior,扣带回前部
Paracingulate gyrus mid-anterior LH,扣带回前部左侧
Paracingulate gyrus mid-posterior LH,扣带回后部左侧
Paracingulate gyrus middle,扣带回中部
Paracingulate gyrus posterior,扣带回后部
Paracingulate gyrus posterior LH,扣带回后部左侧
Paracingulate gyrus posterior RH,扣带回后部右侧
Paracingulate gyrus postero-inferior,扣带回后下部
Paracingulate gyrus postero-superior,扣带回后上部
Paracingulate sulcus LH,沟左侧
Paracingulate sulcus anterior LH,沟前部左侧
Paracingulate sulcus mid-posterior,沟后部
Paracingulate sulcus mid-posterior RH,沟后部右侧
Paracingulate sulcus middle LH,沟中部左侧
Paracingulate sulcus posterior,沟后部
Paracingulate sulcus posterior LH,沟后部左侧
Paracingulate sulcus posterior RH,沟后部右侧
Paracingulate sulcus superior RH,沟上部右侧
Parahippocampal gyrus,海马旁回
Parahippocampal gyrus anterior,海马旁回前部
Parahippocampal gyrus middle RH,海马旁回中部右侧
Parahippocampal gyrus posterior LH,海马旁回后部左侧
Parahippocampal gyrus posterior RH,海马旁回后部右侧
Parahippocampal sulcus,沟
Parietal operculum,盖
Parietal operculum LH,盖左侧
Parietal operculum RH,盖右侧
Parietal operculum anterior RH,盖前部右侧
Parietal operculum medial RH,盖内侧右侧
Parietal operculum posterior RH,盖后部右侧
Parieto-occipital sulcus,顶枕沟
Parieto-occipital sulcus anterior,顶枕沟前部
Parieto-occipital sulcus anterior LH,顶枕沟前部左侧
Parieto-occipital sulcus anterior RH,顶枕沟前部右侧
Parieto-occipital sulcus antero-superior,顶枕沟前上部
Parieto-occipital sulcus central,顶枕沟
Parieto-occipital sulcus inferior LH,顶枕沟下部左侧
Parieto-occipital sulcus mid-anterior,顶枕沟前部
Parieto-occipital sulcus mid-anterior LH,顶枕沟前部左侧
Parieto-occipital sulcus mid-anterior RH,顶枕沟前部右侧
Parieto-occipital sulcus mid-posterior,顶枕沟后部
Parieto-occipital sulcus mid-superior,顶枕沟上部
Parieto-occipital sulcus middle,顶枕沟中部
Parieto-occipital sulcus middle LH,顶枕沟中部左侧
Parieto-occipital sulcus middle RH,顶枕沟中部右侧
Parieto-occipital sulcus middle inferior LH,顶枕沟中部下部左侧
Parieto-occipital sulcus middle superior LH,顶枕沟中部上部左侧
Parieto-occipital sulcus middle superior RH,顶枕沟中部上部右侧
Parieto-occipital sulcus posterior,顶枕沟后部
Parieto-occipital sulcus posterior LH,顶枕沟后部左侧
Parieto-occipital sulcus posterior RH,顶枕沟后部右侧
Parieto-occipital sulcus posterior lateral,顶枕沟后部外侧
Parieto-occipital sulcus postero-inferior RH,顶枕沟后下部右侧
Parieto-occipital sulcus postero-superior,顶枕沟后上部
Parieto-occipital sulcus postero-superior RH,顶枕沟后上部右侧
Parieto-occipital sulcus superior,顶枕沟上部
Pars opercularis,盖部
Pars opercularis LH,盖部左侧
Pars opercularis RH,盖部右侧
Pars opercularis inferior LH,盖部下部左侧
Pars opercularis lateral LH,盖部外侧左侧
Pars opercularis pars triangularis LH,盖部三角部左侧
Pars opercularis superior LH,盖部上部左侧
Pars orbitalis LH,左侧
Pars orbitalis RH,右侧
Pars triangularis,三角部
Pars triangularis LH,三角部左侧
Pars triangularis RH,三角部右侧
Pars triangularis anterior LH,三角部前部左侧
Pars triangularis inferior LH,三角部下部左侧
Pars triangularis posterior LH,三角部后部左侧
Pars triangularis superior RH,三角部上部右侧
Pericallosal sulcus middle,沟中部
Perirhinal cortex,皮层
Planum polare,颞极平面
Planum polare LH,颞极平面左侧
Planum polare inferior,颞极平面下部
Planum polare superior,颞极平面上部
Planum porale,颞前平面
Planum temporale,颞平面
Planum temporale LH,颞平面左侧
Planum temporale RH,颞平面右侧
Planum temporale anterior LH,颞平面前部左侧
Planum temporale posterior LH,颞平面后部左侧
Pons,脑桥
Pons antero-superior,脑桥前上部
Pons inferior,脑桥下部
Pons middle,脑桥中部
Pons superior,脑桥上部
Postcentral gyrus LH,中央后回左侧
Postcentral gyrus RH,中央后回右侧
Postcentral gyrus inferior,中央后回下部
Postcentral gyrus inferior LH,中央后回下部左侧
Postcentral gyrus inferior RH,中央后回下部右侧
Postcentral gyrus mid-inferior,中央后回下部
Postcentral gyrus mid-inferior LH,中央后回下部左侧
Postcentral gyrus mid-inferior lateral LH,中央后回下部外侧左侧
Postcentral gyrus mid-superior LH,中央后回上部左侧
Postcentral gyrus mid-superior RH,中央后回上部右侧
Postcentral gyrus middle,中央后回中部
Postcentral gyrus middle LH,中央后回中部左侧
Postcentral gyrus middle RH,中央后回中部右侧
Postcentral gyrus middle anterior LH,中央后回中部前部左侧
Postcentral gyrus middle posterior LH,中央后回中部后部左侧
Postcentral gyrus superior,中央后回上部
Postcentral gyrus superior LH,中央后回上部左侧
Postcentral gyrus superior RH,中央后回上部右侧
Postcentral sulcus LH,中央后沟左侧
Postcentral sulcus RH,中央后沟右侧
Postcentral sulcus inferior,中央后沟下部
Postcentral sulcus inferior LH,中央后沟下部左侧
Postcentral sulcus inferior RH,中央后沟下部右侧
Postcentral sulcus inferior medial LH,中央后沟下部内侧左侧
Postcentral sulcus medial,中央后沟内侧
Postcentral sulcus mid-superior LH,中央后沟上部左侧
Postcentral sulcus mid-superior RH,中央后沟上部右侧
Postcentral sulcus middle LH,中央后沟中部左侧
Postcentral sulcus middle RH,中央后沟中部右侧
Postcentral sulcus superior,中央后沟上部
Postcentral sulcus superior LH,中央后沟上部左侧
Postcentral sulcus superior RH,中央后沟上部右侧
Posterior cingulate,后部
Posterior cingulate cortex,后部扣带皮层
Posterior cingulate cortex LH,后部扣带皮层左侧
Posterior cingulate cortex anterior,后部扣带皮层前部
Posterior cingulate cortex antero-inferior,后部扣带皮层下部
Posterior cingulate cortex inferior,后部扣带皮层下部
Posterior cingulate cortex inferior LH,后部扣带皮层下部左侧
Posterior cingulate cortex middle,后部扣带皮层中部
Posterior cingulate cortex posterior,后部扣带皮层后部
Posterior cingulate cortex postero-inferior,后部扣带皮层后下部
Posterior cingulate cortex superior,后部扣带皮层上部
Posterior corona radiata LH,后部放射冠左侧
Posterior corona radiata RH,后部放射冠右侧
Posterior corona radiata inferior LH,后部放射冠下部左侧
Posterior corona radiata inferior RH,后部放射冠下部右侧
Posterior horns of lateral ventricles,后部的外侧脑室
Posterior insula RH,后部脑岛右侧
Posterior insula inferior,后部脑岛下部
Posterior insula inferior LH,后部脑岛下部左侧
Posterior insula inferior RH,后部脑岛下部右侧
Posterior insula postero-superior RH,后部脑岛后上部右侧
Posterior insula superior LH,后部脑岛上部左侧
Posterior lateral ventricles,后部外侧脑室
Posterior orbital gyrus,后部眶回
Posterior orbital gyrus LH,后部眶回左侧
Posterior orbital gyrus RH,后部眶回右侧
Posterior orbital gyrus posterior,后部眶回后部
Precentral gyrus antero-superior LH,中央前回前上部左侧
Precentral gyrus inferior,中央前回下部
Precentral gyrus inferior LH,中央前回下部左侧
Precentral gyrus inferior RH,中央前回下部右侧
Precentral gyrus medial,中央前回内侧
Precentral gyrus mid-inferior LH,中央前回下部左侧
Precentral gyrus mid-inferior RH,中央前回下部右侧
Precentral gyrus mid-superior,中央前回上部
Precentral gyrus mid-superior LH,中央前回上部左侧
Precentral gyrus mid-superior RH,中央前回上部右侧
Precentral gyrus middle,中央前回中部
Precentral gyrus middle LH,中央前回中部左侧
Precentral gyrus middle anterior LH,中央前回中部前部左侧
Precentral gyrus middle anterior RH,中央前回中部前部右侧
Precentral gyrus middle posterior LH,中央前回中部后部左侧
Precentral gyrus superior,中央前回上部
Precentral gyrus superior LH,中央前回上部左侧
Precentral gyrus superior RH,中央前回上部右侧
Precentral gyrus superior and superior frontal gyrus RH,中央前回上部和额上回右侧
Precentral sulcus RH,中央前沟右侧
Precentral sulcus inferior LH,中央前沟下部左侧
Precentral sulcus inferior RH,中央前沟下部右侧
Precentral sulcus medial,中央前沟内侧
Precentral sulcus medial LH,中央前沟内侧左侧
Precentral sulcus medial RH,中央前沟内侧右侧
Precentral sulcus medial inferior LH,中央前沟内侧下部左侧
Precentral sulcus mid-inferior LH,中央前沟下部左侧
Precentral sulcus mid-inferior RH,中央前沟下部右侧
Precentral sulcus mid-superior LH,中央前沟上部左侧
Precentral sulcus mid-superior RH,中央前沟上部右侧
Precentral sulcus middle LH,中央前沟中部左侧
Precentral sulcus middle RH,中央前沟中部右侧
Precentral sulcus superior,中央前沟上部
Precentral sulcus superior LH,中央前沟上部左侧
Precentral sulcus superior RH,中央前沟上部右侧
Precentral sulcus superior medial LH,中央前沟上部内侧左侧
Precuneus RH,楔前叶右侧
Precuneus anterior,楔前叶前部
Precuneus anterior LH,楔前叶前部左侧
Precuneus antero-inferior,楔前叶下部
Precuneus antero-inferior RH,楔前叶下部右侧
Precuneus antero-superior,楔前叶前上部
Precuneus antero-superior LH,楔前叶前上部左侧
Precuneus inferior,楔前叶下部
Precuneus inferior LH,楔前叶下部左侧
Precuneus interhemispheric fissure,楔前叶大脑纵裂
Precuneus mid-posterior,楔前叶后部
Precuneus mid-superior LH,楔前叶上部左侧
Precuneus middle,楔前叶中部
Precuneus middle LH,楔前叶中部左侧
Precuneus middle RH,楔前叶中部右侧
Precuneus middle superior LH,楔前叶中部上部左侧
Precuneus middle superior RH,楔前叶中部上部右侧
Precuneus posterior,楔前叶后部
Precuneus posterior LH,楔前叶后部左侧
Precuneus posterior RH,楔前叶后部右侧
Precuneus postero-inferior LH,楔前叶后下部左侧
Precuneus postero-inferior RH,楔前叶后下部右侧
Precuneus postero-superior,楔前叶后上部
Precuneus postero-superior RH,楔前叶后上部右侧
Precuneus superior,楔前叶上部
Precuneus superior RH,楔前叶上部右侧
Putamen,壳核
Putamen LH,壳核左侧
Putamen RH,壳核右侧
Putamen and globus pallidus,壳核和苍白球
Putamen and globus pallidus anterior LH,壳核和苍白球前部左侧
Putamen anterior,壳核前部
Putamen anterior LH,壳核前部左侧
Putamen anterior RH,壳核前部右侧
Putamen inferior,壳核下部
Putamen inferior RH,壳核下部右侧
Putamen middle LH,壳核中部左侧
Putamen posterior,壳核后部
Putamen posterior LH,壳核后部左侧
Putamen posterior RH,壳核后部右侧
Putamen postero-inferior,壳核后下部
Putamen postero-superior,壳核后上部
Putamen superior,壳核上部
Putamen superior RH,壳核上部右侧
Retrocalcarine cortex,距状皮层
Retrocalcarine cortex LH,距状皮层左侧
Retrocalcarine cortex RH,距状皮层右侧
Retrocalcarine sulcus LH,沟左侧
